Date,High,Low,Open,Volume,Adj Close
2021-01-04,273.75,263.85,271.81,2800057.0,267.64
2021-01-05,274.76,267.45,267.65,1829442.0,274.28
2021-01-06,292.84,274.65,275.0,2778280.0,290.36
2021-01-07,300.555,293.49,293.76,2227343.0,299.73
2021-01-08,300.48,290.385,297.55,1780991.0,293.91
2021-01-11,295.18,289.0014,289.48,1304027.0,294.92
2021-01-12,303.56,293.905,296.12,1952318.0,302.09
2021-01-13,304.0,300.61,301.63,1203758.0,301.22
2021-01-14,306.35,301.95,302.9,1370805.0,302.85
2021-01-15,301.13,293.01,300.16,1766313.0,295.4
2021-01-19,299.765,294.4,298.25,1509915.0,294.99
2021-01-20,302.19,296.01,296.87,1327782.0,300.94
2021-01-21,306.1499,300.0,302.0,1931138.0,305.5
2021-01-22,306.9614,301.31,302.89,1429871.0,305.17
2021-01-25,305.5,296.38,303.14,1539717.0,298.2
2021-01-26,302.16,295.4,300.94,1364350.0,296.01
2021-01-27,290.64,278.95,289.79,1769882.0,280.73
2021-01-28,297.28,282.735,287.28,1504279.0,292.96
2021-01-29,292.95,285.5,292.1,1734289.0,288.8
2021-02-01,294.02,289.65,292.12,1163541.0,292.21
2021-02-02,304.22,295.72,296.23,1637198.0,302.54
2021-02-03,302.33,299.4616,302.26,1185427.0,301.14
2021-02-04,309.56,301.95,302.85,1459155.0,309.27
2021-02-05,313.02,307.01,312.02,1228075.0,309.24
2021-02-08,317.19,312.0,312.0,962423.0,317.04
2021-02-09,318.27,313.17,316.02,1066615.0,315.33
2021-02-10,317.8,311.37,317.55,1070098.0,313.64
2021-02-11,315.82,309.05,314.69,995385.0,314.46
2021-02-12,315.79,312.28,314.05,1721668.0,313.0
2021-02-16,321.67,316.07,316.81,3099562.0,317.09
2021-02-17,317.5,311.39,314.16,2009265.0,312.08
2021-02-18,311.46,298.54,310.84,3115098.0,300.25
2021-02-19,335.21,315.87,320.0,4870062.0,330.0
2021-02-22,338.55,328.52,329.5,2312527.0,337.51
2021-02-23,338.7699,328.0,331.52,2222978.0,337.41
2021-02-24,346.59,338.21,339.43,1941252.0,345.66
2021-02-25,353.02,342.31,345.71,2883003.0,348.03
2021-02-26,354.408,344.06,346.2,2537825.0,349.12
2021-03-01,363.31,354.34,355.06,2100253.0,359.51
2021-03-02,359.87,349.97,359.87,1881971.0,351.44
2021-03-03,351.3746,342.81,349.94,1929130.0,343.06
2021-03-04,343.52,330.78,340.67,2499448.0,337.95
2021-03-05,351.84,334.14,343.3,1979822.0,349.83
2021-03-08,359.91,349.2207,354.43,1764150.0,353.7
2021-03-09,357.39,351.87,354.72,1457115.0,352.69
2021-03-10,361.6939,351.01,351.22,1403209.0,361.22
2021-03-11,366.82,360.78,365.0,1675846.0,364.46
2021-03-12,370.76,363.34,363.55,1941525.0,369.49
2021-03-15,374.73,366.0603,369.09,2005446.0,374.37
2021-03-16,376.57,371.0,376.57,2047047.0,373.52
2021-03-17,380.79,372.23,376.08,1752964.0,379.26
2021-03-18,392.42,379.1334,381.0,2753097.0,380.41
2021-03-19,379.84,371.91,377.5,3042145.0,372.48
2021-03-22,373.72,368.66,373.72,1398482.0,371.59
2021-03-23,371.53,355.9,367.27,2911237.0,357.49
2021-03-24,368.0,360.81,361.51,1860580.0,360.91
2021-03-25,367.79,353.462,357.27,1970634.0,366.8
2021-03-26,372.9,367.73,371.03,1586119.0,372.29
2021-03-29,372.49,367.5,370.49,1413689.0,367.97
2021-03-30,375.31,366.45,367.0,1278209.0,373.92
2021-03-31,379.5,368.32,374.97,2053541.0,374.14
2021-04-01,376.0,369.29,375.63,1562136.0,372.12
2021-04-05,377.94,373.91,375.6,1419540.0,374.81
2021-04-06,381.84,375.02,375.79,1309726.0,375.61
2021-04-07,378.88,372.41,375.75,1299366.0,374.79
2021-04-08,374.5275,368.63,372.29,1250769.0,374.07
2021-04-09,378.08,372.52,375.64,1224717.0,377.0
2021-04-12,379.15,375.8,377.83,1165106.0,378.26
2021-04-13,384.4,376.63,383.54,985343.0,378.67
