Date,news_pos_sentiment_count,news_sentiment_daily_avg,twitter_pos_sentiment_count
2021-01-01,0.0,0.0,1.0
2021-01-04,0.0,0.0,
2021-01-05,0.0,0.0,
2021-01-06,2.0,0.0079,19.0
2021-01-07,1.0,0.0021,8.0
2021-01-08,0.0,0.0,1.0
2021-01-11,0.0,0.0,1.0
2021-01-12,0.0,-0.1325,4.0
2021-01-13,0.0,-0.0364,1.0
2021-01-14,1.0,0.0109,2.0
2021-01-15,0.0,-0.0053,3.0
2021-01-18,0.0,0.0,1.0
2021-01-19,0.0,0.0,1.0
2021-01-20,1.0,-0.0099,3.0
2021-01-21,0.0,0.0,3.0
2021-01-22,1.0,0.0049,3.0
2021-01-25,0.0,0.0,1.0
2021-01-26,0.0,-0.0007,2.0
2021-01-27,0.0,-0.0018,4.0
2021-01-28,0.0,0.0,2.0
2021-01-29,36.0,0.5492,29.0
2021-02-01,2.0,0.3969,9.0
2021-02-02,7.0,0.1712,7.0
2021-02-03,0.0,0.0,
2021-02-04,1.0,0.0193,2.0
2021-02-05,0.0,0.0,5.0
2021-02-08,0.0,,2.0
2021-02-09,0.0,0.0,1.0
2021-02-10,0.0,-0.0062,4.0
2021-02-11,0.0,0.0,
2021-02-12,0.0,0.0,1.0
2021-02-15,0.0,0.0,2.0
2021-02-16,0.0,0.0,4.0
2021-02-17,5.0,0.2425,2.0
2021-02-18,0.0,0.0,2.0
2021-02-19,0.0,0.0,4.0
2021-02-22,0.0,0.0,3.0
2021-02-23,0.0,0.0,1.0
2021-02-24,0.0,0.0,4.0
2021-02-25,0.0,0.0,4.0
2021-02-26,0.0,0.0,3.0
2021-03-01,0.0,0.0,3.0
2021-03-02,0.0,0.0,3.0
2021-03-03,0.0,0.0,3.0
2021-03-04,0.0,0.0,3.0
2021-03-05,0.0,0.0,1.0
2021-03-08,0.0,0.0,3.0
2021-03-09,0.0,0.0,11.0
2021-03-10,0.0,0.0,18.0
2021-03-11,0.0,0.0,11.0
2021-03-12,0.0,0.0,3.0
2021-03-15,0.0,0.0,3.0
2021-03-16,3.0,0.0081,7.0
2021-03-17,0.0,0.0,
2021-03-18,0.0,0.0,2.0
2021-03-19,1.0,0.0099,3.0
2021-03-22,0.0,0.0,
2021-03-23,0.0,-0.0461,3.0
2021-03-24,2.0,0.014,
2021-03-25,0.0,0.0,2.0
2021-03-26,1.0,0.0022,5.0
2021-03-29,0.0,-0.4998,2.0
2021-03-30,1.0,0.0081,7.0
2021-03-31,0.0,0.0,1.0
2021-04-01,0.0,0.0,2.0
2021-04-02,0.0,0.0,2.0
2021-04-05,0.0,0.0,
2021-04-06,0.0,0.0,3.0
2021-04-07,1.0,0.0047,3.0
2021-04-08,0.0,0.0,
2021-04-09,5.0,0.0381,25.0
2021-04-12,1.0,0.0047,6.0
2021-04-13,0.0,0.0,3.0
2021-04-14,0.0,0.0,8.0
2021-04-15,0.0,0.0,2.0
2021-04-16,0.0,0.0,1.0
2021-04-19,0.0,0.0,4.0
2021-04-20,0.0,0.0,3.0
2021-04-21,0.0,0.0,2.0
2021-04-22,1.0,0.0053,2.0
2021-04-23,28.0,0.205,15.0
2021-04-26,1.0,-0.031,1.0
2021-04-27,6.0,0.051,11.0
2021-04-28,0.0,0.0,8.0
2021-04-29,0.0,0.0,
2021-04-30,2.0,0.0101,
2021-05-03,0.0,0.0,
2021-05-04,3.0,0.027,1.0
2021-05-05,1.0,-0.0241,2.0
2021-05-06,1.0,-0.0127,1.0
2021-05-07,1.0,0.0087,
2021-05-10,0.0,-0.0315,
2021-05-11,1.0,0.0064,9.0
2021-05-12,0.0,-0.0077,1.0
2021-05-13,0.0,-0.0343,2.0
2021-05-14,0.0,0.0,
2021-05-17,2.0,0.0927,1.0
2021-05-18,0.0,0.0,2.0
2021-05-19,0.0,0.0,1.0
2021-05-20,0.0,-0.0222,2.0
2021-05-21,0.0,0.0,1.0
2021-05-24,1.0,0.0045,
2021-05-25,1.0,0.0018,2.0
2021-05-26,3.0,0.015,4.0
2021-05-27,0.0,0.0,1.0
2021-05-28,1.0,0.0028,3.0
2021-05-31,0.0,0.0,2.0
2021-06-01,1.0,0.0268,2.0
2021-06-02,0.0,0.0,4.0
2021-06-03,0.0,-0.002,3.0
2021-06-04,0.0,0.0,2.0
2021-06-07,0.0,0.0,
2021-06-08,0.0,-0.0053,3.0
2021-06-09,4.0,0.0064,1.0
2021-06-10,0.0,0.0,7.0
2021-06-11,0.0,-0.0022,5.0
2021-06-14,0.0,0.0,1.0
2021-06-15,0.0,0.0,2.0
2021-06-16,0.0,0.0,
2021-06-17,0.0,0.0,1.0
2021-06-18,0.0,0.0,1.0
2021-06-21,0.0,0.0,1.0
2021-06-22,0.0,0.0,4.0
2021-06-23,0.0,0.0,2.0
2021-06-24,0.0,0.0,3.0
2021-06-25,0.0,0.0,2.0
2021-06-28,0.0,0.0,
2021-06-29,0.0,0.0,2.0
2021-06-30,,,1.0
2021-07-01,0.0,0.0,2.0
2021-07-02,3.0,0.0504,1.0
2021-07-05,0.0,0.0,2.0
2021-07-06,0.0,0.0,1.0
2021-07-07,0.0,-0.0179,2.0
2021-07-08,0.0,0.0,1.0
2021-07-09,0.0,0.0,4.0
2021-07-12,0.0,0.0,1.0
2021-07-13,0.0,0.0,
2021-07-14,0.0,0.0,
2021-07-15,2.0,0.0023,7.0
2021-07-16,2.0,0.0031,7.0
2021-07-19,0.0,0.0,1.0
2021-07-20,0.0,0.0,2.0
2021-07-21,4.0,0.1045,4.0
2021-07-22,0.0,-0.0008,4.0
2021-07-23,42.0,0.3775,39.0
2021-07-26,0.0,0.0,2.0
2021-07-27,7.0,0.0728,21.0
2021-07-28,0.0,0.0,4.0
2021-07-29,0.0,0.0,1.0
2021-07-30,0.0,0.0,3.0
2021-08-02,0.0,0.0,1.0
2021-08-03,1.0,0.0016,6.0
2021-08-04,2.0,0.0068,4.0
2021-08-05,0.0,0.0,2.0
2021-08-06,0.0,0.0,2.0
2021-08-09,1.0,0.0359,1.0
2021-08-10,0.0,-0.0015,2.0
2021-08-11,1.0,0.0099,3.0
2021-08-12,0.0,0.0,5.0
2021-08-13,0.0,0.0,7.0
2021-08-16,0.0,0.0,2.0
2021-08-17,0.0,0.0,3.0
2021-08-18,0.0,0.0,2.0
2021-08-19,1.0,0.0047,7.0
2021-08-20,0.0,0.0,2.0
2021-08-23,0.0,0.0,0.0
2021-08-24,0.0,0.0,3.0
2021-08-25,0.0,0.0,1.0
2021-08-26,0.0,0.0,1.0
2021-08-27,0.0,0.0,2.0
2021-08-30,0.0,0.0,2.0
2021-08-31,0.0,0.0,0.0
2021-09-01,0.0,0.0,0.0
2021-09-02,0.0,0.0,1.0
2021-09-03,1.0,0.0056,1.0
2021-09-06,0.0,0.0,1.0
2021-09-07,0.0,0.0,2.0
2021-09-08,0.0,-0.0029,3.0
2021-09-09,0.0,0.0,6.0
2021-09-10,0.0,0.0,2.0
2021-09-13,0.0,0.0,0.0
2021-09-14,0.0,-0.0016,2.0
2021-09-15,0.0,-0.0336,1.0
2021-09-16,0.0,0.0,2.0
2021-09-17,0.0,0.0,5.0
2021-09-20,0.0,0.0,1.0
2021-09-21,1.0,0.0064,1.0
2021-09-22,0.0,-0.174,1.0
2021-09-23,1.0,-0.0005,10.0
2021-09-24,1.0,0.0011,6.0
2021-09-27,0.0,0.0,2.0
2021-09-28,0.0,0.0,3.0
2021-09-29,0.0,0.0,4.0
2021-09-30,0.0,0.0,3.0
2021-10-01,0.0,-0.0016,3.0
2021-10-04,2.0,0.0158,1.0
2021-10-05,0.0,0.0,2.0
2021-10-06,1.0,0.0023,2.0
2021-10-07,1.0,0.0021,0.0
2021-10-08,0.0,-0.0052,5.0
2021-10-11,0.0,0.0,14.0
2021-10-12,0.0,0.0,3.0
2021-10-13,0.0,0.0,5.0
2021-10-14,1.0,0.0017,4.0
2021-10-15,1.0,0.0088,3.0
2021-10-18,0.0,0.0,3.0
2021-10-19,3.0,0.0214,2.0
2021-10-20,0.0,0.0,0.0
2021-10-21,1.0,0.0013,0.0
2021-10-22,24.0,0.1511,30.0
2021-10-25,1.0,-0.0921,1.0
2021-10-26,1.0,-0.0145,1.0
2021-10-27,0.0,-0.0083,0.0
2021-10-28,0.0,-0.0158,3.0
2021-10-29,0.0,-0.0986,4.0
2021-11-01,0.0,0.0,1.0
2021-11-02,0.0,-0.0098,0.0
2021-11-03,0.0,-0.0082,5.0
2021-11-04,0.0,0.0,1.0
2021-11-05,0.0,0.0,0.0
2021-11-08,0.0,0.0,1.0
2021-11-09,0.0,0.0,0.0
2021-11-10,3.0,-0.0079,2.0
2021-11-11,0.0,0.0,0.0
2021-11-12,0.0,-0.0033,1.0
2021-11-15,2.0,0.0108,1.0
2021-11-16,0.0,0.0,0.0
2021-11-17,0.0,0.0,5.0
2021-11-18,0.0,0.0,6.0
2021-11-19,0.0,0.0,2.0
2021-11-22,0.0,0.0,4.0
2021-11-23,0.0,0.0,10.0
2021-11-24,0.0,-0.0007,6.0
2021-11-25,0.0,-0.0093,2.0
2021-11-26,0.0,0.0,6.0
2021-11-29,0.0,0.0,0.0
2021-11-30,0.0,0.0,0.0
2021-12-01,0.0,-0.0041,1.0
2021-12-02,0.0,-0.0018,0.0
2021-12-03,0.0,0.0,4.0
2021-12-06,0.0,0.0,1.0
2021-12-07,0.0,0.0,2.0
2021-12-08,0.0,-0.014,2.0
2021-12-09,0.0,-0.0339,5.0
2021-12-10,0.0,-0.0105,4.0
2021-12-13,0.0,0.0,1.0
2021-12-14,0.0,-0.0037,3.0
2021-12-15,1.0,0.0012,2.0
2021-12-16,0.0,0.0,2.0
2021-12-17,1.0,0.0017,3.0
2021-12-20,1.0,0.0202,2.0
2021-12-21,0.0,-0.0043,3.0
2021-12-22,0.0,-0.0018,0.0
2021-12-23,0.0,0.0,4.0
2021-12-24,0.0,0.0,3.0
2021-12-27,1.0,0.0052,1.0
2021-12-28,0.0,0.0,2.0
2021-12-29,0.0,0.0,1.0
2021-12-30,0.0,0.0,2.0
2021-12-31,0.0,0.0,2.0
2022-01-03,0.0,0.0,1.0
2022-01-04,0.0,-0.0024,3.0
2022-01-05,0.0,-0.0151,2.0
2022-01-06,0.0,0.0,7.0
2022-01-07,0.0,0.0,2.0
2022-01-10,1.0,0.0022,1.0
2022-01-11,0.0,0.0,0.0
2022-01-12,0.0,0.0,0.0
2022-01-13,1.0,0.0006,3.0
2022-01-14,0.0,0.0,1.0
2022-01-17,1.0,0.0056,1.0
2022-01-18,0.0,0.0,3.0
2022-01-19,0.0,0.0,3.0
2022-01-20,0.0,0.0,6.0
2022-01-21,0.0,-0.0018,2.0
2022-01-24,0.0,0.0,1.0
2022-01-25,0.0,0.0,3.0
2022-01-26,0.0,0.0,0.0
2022-01-27,1.0,0.0009,0.0
2022-01-28,2.0,0.0044,3.0
2022-01-31,0.0,-0.0033,1.0
2022-02-01,1.0,0.0007,0.0
2022-02-02,0.0,0.0,0.0
2022-02-03,9.0,-0.0708,19.0
2022-02-04,3.0,-0.6059,17.0
2022-02-07,1.0,-0.0079,1.0
2022-02-08,0.0,-0.0089,5.0
2022-02-09,0.0,-0.003,5.0
2022-02-10,0.0,-0.0054,1.0
2022-02-11,0.0,-0.0012,0.0
2022-02-14,0.0,0.0,0.0
2022-02-15,0.0,-0.0226,4.0
2022-02-16,0.0,0.0,3.0
2022-02-17,0.0,0.0,1.0
2022-02-18,0.0,-0.2527,1.0
2022-02-21,0.0,0.0,3.0
2022-02-22,0.0,0.0,4.0
2022-02-23,8.0,0.0534,5.0
2022-02-24,0.0,-0.1202,2.0
2022-02-25,6.0,0.0381,2.0
2022-02-28,0.0,0.0,0.0
2022-03-01,7.0,0.054,2.0
2022-03-02,0.0,-0.1876,0.0
2022-03-03,10.0,0.0635,4.0
2022-03-04,16.0,0.2961,16.0
2022-03-07,0.0,-0.0054,1.0
2022-03-08,0.0,-0.226,1.0
2022-03-09,9.0,0.0765,0.0
2022-03-10,10.0,0.0428,2.0
2022-03-11,0.0,-0.0016,1.0
2022-03-14,0.0,0.0,1.0
2022-03-15,0.0,0.0,2.0
2022-03-16,0.0,-0.0007,1.0
2022-03-17,0.0,0.0,0.0
2022-03-18,1.0,0.004,1.0
2022-03-21,0.0,-0.0072,0.0
2022-03-22,3.0,0.0086,2.0
2022-03-23,9.0,0.0496,1.0
2022-03-24,0.0,-0.1366,2.0
2022-03-25,9.0,0.0545,1.0
2022-03-28,0.0,-0.0026,0.0
2022-03-29,0.0,-0.1841,0.0
2022-03-30,8.0,0.071,5.0
2022-03-31,0.0,-0.1461,5.0
2022-04-01,0.0,-0.1836,3.0
2022-04-04,1.0,0.0039,1.0
2022-04-05,6.0,0.0451,0.0
2022-04-06,0.0,-0.6257,0.0
2022-04-07,0.0,-0.2924,3.0
2022-04-08,0.0,-0.2315,1.0
2022-04-11,0.0,0.0,0.0
2022-04-12,0.0,-0.0817,2.0
2022-04-13,7.0,0.0897,2.0
2022-04-14,8.0,0.0728,5.0
2022-04-15,8.0,0.3161,2.0
2022-04-18,0.0,0.0,1.0
2022-04-19,1.0,-0.1957,2.0
2022-04-20,8.0,0.0911,1.0
2022-04-21,0.0,-0.286,0.0
2022-04-22,0.0,-0.0996,3.0
2022-04-25,0.0,0.0,1.0
2022-04-26,7.0,0.0374,4.0
2022-04-27,0.0,-0.2342,1.0
2022-04-28,0.0,-0.2256,0.0
2022-04-29,28.0,0.1911,26.0
2022-05-02,1.0,0.0058,6.0
2022-05-03,10.0,0.2038,18.0
2022-05-04,9.0,0.1312,5.0
2022-05-05,13.0,0.0853,5.0
