Date,news_pos_sentiment_count,news_sentiment_daily_avg,twitter_pos_sentiment_count
2021-01-01,0.0,0.0,1.0
2021-01-04,0.0,,
2021-01-05,0.0,0.0,
2021-01-06,1.0,0.6321,1.0
2021-01-07,0.0,0.0,2.0
2021-01-08,0.0,0.0,
2021-01-11,3.0,0.2877,7.0
2021-01-12,1.0,0.0153,9.0
2021-01-13,1.0,0.162,2.0
2021-01-14,0.0,0.0,3.0
2021-01-15,0.0,0.0,1.0
2021-01-18,0.0,,
2021-01-19,0.0,-0.062,2.0
2021-01-20,0.0,0.0,2.0
2021-01-21,3.0,0.1039,18.0
2021-01-22,41.0,0.3015,22.0
2021-01-25,1.0,0.1444,
2021-01-26,0.0,,1.0
2021-01-27,1.0,0.051,2.0
2021-01-28,0.0,0.0,1.0
2021-01-29,0.0,0.0,1.0
2021-02-01,0.0,0.0,
2021-02-02,0.0,0.0,
2021-02-03,0.0,0.0,
2021-02-04,0.0,0.0,
2021-02-05,0.0,0.0,1.0
2021-02-08,0.0,0.0,1.0
2021-02-09,0.0,0.0,
2021-02-10,0.0,0.0,
2021-02-11,0.0,0.0,1.0
2021-02-12,0.0,0.0,
2021-02-15,0.0,,
2021-02-16,0.0,0.0,1.0
2021-02-17,0.0,0.0,
2021-02-18,0.0,0.0,
2021-02-19,0.0,0.0,
2021-02-22,0.0,0.0,
2021-02-23,0.0,0.0,1.0
2021-02-24,0.0,0.0,1.0
2021-02-25,1.0,0.057,
2021-02-26,0.0,0.0,
2021-03-01,0.0,0.0,2.0
2021-03-02,0.0,0.0,
2021-03-03,0.0,-0.0827,1.0
2021-03-04,4.0,0.9817,1.0
2021-03-05,0.0,0.0,1.0
2021-03-08,1.0,0.6321,
2021-03-09,0.0,-0.0383,1.0
2021-03-10,0.0,0.0,
2021-03-11,1.0,0.0234,1.0
2021-03-12,0.0,,
2021-03-15,0.0,,
2021-03-16,0.0,,1.0
2021-03-17,0.0,-0.0142,2.0
2021-03-18,0.0,0.0,1.0
2021-03-19,0.0,0.0,2.0
2021-03-22,0.0,0.0,1.0
2021-03-23,0.0,-0.0081,3.0
2021-03-24,0.0,0.0,2.0
2021-03-25,0.0,0.0,5.0
2021-03-26,1.0,0.0058,2.0
2021-03-29,0.0,0.0,1.0
2021-03-30,0.0,0.0,3.0
2021-03-31,0.0,,2.0
2021-04-01,1.0,0.0513,1.0
2021-04-02,0.0,0.0,
2021-04-05,0.0,0.0,1.0
2021-04-06,0.0,0.0,4.0
2021-04-07,1.0,0.0505,1.0
2021-04-08,0.0,0.0,4.0
2021-04-09,0.0,0.0,
2021-04-12,0.0,,
2021-04-13,1.0,0.025,5.0
2021-04-14,0.0,-0.6321,2.0
2021-04-15,0.0,0.0,5.0
2021-04-16,2.0,0.0794,2.0
2021-04-19,2.0,0.8647,1.0
2021-04-20,0.0,-0.0434,1.0
2021-04-21,0.0,-0.0332,2.0
2021-04-22,1.0,0.0091,4.0
2021-04-23,5.0,-0.2523,1.0
2021-04-26,1.0,0.1691,1.0
2021-04-27,1.0,-0.084,13.0
2021-04-28,0.0,0.0,3.0
2021-04-29,0.0,0.0,5.0
2021-04-30,0.0,0.0,2.0
2021-05-03,0.0,,1.0
2021-05-04,0.0,0.0,3.0
2021-05-05,2.0,0.0056,2.0
2021-05-06,7.0,0.0759,5.0
2021-05-07,0.0,0.0,4.0
2021-05-10,0.0,,2.0
2021-05-11,0.0,0.0,2.0
2021-05-12,0.0,0.0,4.0
2021-05-13,0.0,0.0,1.0
2021-05-14,0.0,0.0,14.0
2021-05-17,0.0,0.0,3.0
